"asset_id","asset_code","asset_type","department","location_id","criticality","condition","last_maintenance","next_maintenance","status"
"AST-0216","ST-AXC-0216","Axle Counter","Signal & Telecommunication","LOC-036","Medium","Fair","2026-04-04","2026-09-19","Operational"
"AST-0217","ENG-TRK-0217","Track","Engineering","LOC-037","High","Poor","2026-05-05","2026-10-20","Operational"
"AST-0218","ENG-TO-0218","Turnout","Engineering","LOC-037","High","Critical","2026-06-06","2026-11-21","Under Observation"
"AST-0219","TD-OHE-0219","OHE Mast","Traction Distribution","LOC-037","Critical","Good","2026-07-07","2026-09-22","Maintenance In Progress"
"AST-0220","TD-TSS-0220","Traction Substation","Traction Distribution","LOC-037","Medium","Fair","2026-03-08","2026-10-23","Operational"
"AST-0221","ST-SIG-0221","Signal","Signal & Telecommunication","LOC-037","High","Poor","2026-04-09","2026-11-24","Operational"
"AST-0222","ST-AXC-0222","Axle Counter","Signal & Telecommunication","LOC-037","High","Critical","2026-05-10","2026-09-25","Under Observation"
"AST-0223","ENG-TRK-0223","Track","Engineering","LOC-038","Critical","Good","2026-06-11","2026-10-26","Maintenance In Progress"
"AST-0224","ENG-TO-0224","Turnout","Engineering","LOC-038","Medium","Fair","2026-07-12","2026-11-27","Operational"
"AST-0225","TD-OHE-0225","OHE Mast","Traction Distribution","LOC-038","High","Poor","2026-03-13","2026-09-03","Operational"
"AST-0226","TD-TSS-0226","Traction Substation","Traction Distribution","LOC-038","High","Critical","2026-04-14","2026-10-04","Under Observation"
"AST-0227","ST-SIG-0227","Signal","Signal & Telecommunication","LOC-038","Critical","Good","2026-05-15","2026-11-05","Maintenance In Progress"
"AST-0228","ST-AXC-0228","Axle Counter","Signal & Telecommunication","LOC-038","Medium","Fair","2026-06-16","2026-09-06","Operational"
"AST-0229","ENG-TRK-0229","Track","Engineering","LOC-039","High","Poor","2026-07-17","2026-10-07","Operational"
"AST-0230","ENG-TO-0230","Turnout","Engineering","LOC-039","High","Critical","2026-03-18","2026-11-08","Under Observation"
"AST-0231","TD-OHE-0231","OHE Mast","Traction Distribution","LOC-039","Critical","Good","2026-04-19","2026-09-09","Maintenance In Progress"
"AST-0232","TD-TSS-0232","Traction Substation","Traction Distribution","LOC-039","Medium","Fair","2026-05-20","2026-10-10","Operational"
"AST-0233","ST-SIG-0233","Signal","Signal & Telecommunication","LOC-039","High","Poor","2026-06-21","2026-11-11","Operational"
"AST-0234","ST-AXC-0234","Axle Counter","Signal & Telecommunication","LOC-039","High","Critical","2026-07-22","2026-09-12","Under Observation"
"AST-0235","ENG-TRK-0235","Track","Engineering","LOC-040","Critical","Good","2026-03-23","2026-10-13","Maintenance In Progress"
"AST-0236","ENG-TO-0236","Turnout","Engineering","LOC-040","Medium","Fair","2026-04-24","2026-11-14","Operational"
"AST-0237","TD-OHE-0237","OHE Mast","Traction Distribution","LOC-040","High","Poor","2026-05-25","2026-09-15","Operational"
"AST-0238","TD-TSS-0238","Traction Substation","Traction Distribution","LOC-040","High","Critical","2026-06-26","2026-10-16","Under Observation"
"AST-0239","ST-SIG-0239","Signal","Signal & Telecommunication","LOC-040","Critical","Good","2026-07-27","2026-11-17","Maintenance In Progress"
"AST-0240","ST-AXC-0240","Axle Counter","Signal & Telecommunication","LOC-040","Medium","Fair","2026-03-04","2026-09-18","Operational"
"AST-0241","ENG-TRK-0241","Track","Engineering","LOC-041","High","Poor","2026-04-05","2026-10-19","Operational"
"AST-0242","ENG-TO-0242","Turnout","Engineering","LOC-041","High","Critical","2026-05-06","2026-11-20","Under Observation"
"AST-0243","TD-OHE-0243","OHE Mast","Traction Distribution","LOC-041","Critical","Good","2026-06-07","2026-09-21","Maintenance In Progress"
"AST-0244","TD-TSS-0244","Traction Substation","Traction Distribution","LOC-041","Medium","Fair","2026-07-08","2026-10-22","Operational"
"AST-0245","ST-SIG-0245","Signal","Signal & Telecommunication","LOC-041","High","Poor","2026-03-09","2026-11-23","Operational"
"AST-0246","ST-AXC-0246","Axle Counter","Signal & Telecommunication","LOC-041","High","Critical","2026-04-10","2026-09-24","Under Observation"
"AST-0247","ENG-TRK-0247","Track","Engineering","LOC-042","Critical","Good","2026-05-11","2026-10-25","Maintenance In Progress"
"AST-0248","ENG-TO-0248","Turnout","Engineering","LOC-042","Medium","Fair","2026-06-12","2026-11-26","Operational"
"AST-0249","TD-OHE-0249","OHE Mast","Traction Distribution","LOC-042","High","Poor","2026-07-13","2026-09-27","Operational"
"AST-0250","TD-TSS-0250","Traction Substation","Traction Distribution","LOC-042","High","Critical","2026-03-14","2026-10-03","Under Observation"
"AST-0251","ST-SIG-0251","Signal","Signal & Telecommunication","LOC-042","Critical","Good","2026-04-15","2026-11-04","Maintenance In Progress"
"AST-0252","ST-AXC-0252","Axle Counter","Signal & Telecommunication","LOC-042","Medium","Fair","2026-05-16","2026-09-05","Operational"
"AST-0253","ENG-TRK-0253","Track","Engineering","LOC-043","High","Poor","2026-06-17","2026-10-06","Operational"
"AST-0254","ENG-TO-0254","Turnout","Engineering","LOC-043","High","Critical","2026-07-18","2026-11-07","Under Observation"
"AST-0255","TD-OHE-0255","OHE Mast","Traction Distribution","LOC-043","Critical","Good","2026-03-19","2026-09-08","Maintenance In Progress"
"AST-0256","TD-TSS-0256","Traction Substation","Traction Distribution","LOC-043","Medium","Fair","2026-04-20","2026-10-09","Operational"
"AST-0257","ST-SIG-0257","Signal","Signal & Telecommunication","LOC-043","High","Poor","2026-05-21","2026-11-10","Operational"
"AST-0258","ST-AXC-0258","Axle Counter","Signal & Telecommunication","LOC-043","High","Critical","2026-06-22","2026-09-11","Under Observation"
"AST-0259","ENG-TRK-0259","Track","Engineering","LOC-044","Critical","Good","2026-07-23","2026-10-12","Maintenance In Progress"
"AST-0260","ENG-TO-0260","Turnout","Engineering","LOC-044","Medium","Fair","2026-03-24","2026-11-13","Operational"
"AST-0261","TD-OHE-0261","OHE Mast","Traction Distribution","LOC-044","High","Poor","2026-04-25","2026-09-14","Operational"
"AST-0262","TD-TSS-0262","Traction Substation","Traction Distribution","LOC-044","High","Critical","2026-05-26","2026-10-15","Under Observation"
"AST-0263","ST-SIG-0263","Signal","Signal & Telecommunication","LOC-044","Critical","Good","2026-06-27","2026-11-16","Maintenance In Progress"
"AST-0264","ST-AXC-0264","Axle Counter","Signal & Telecommunication","LOC-044","Medium","Fair","2026-07-04","2026-09-17","Operational"
"AST-0265","ENG-TRK-0265","Track","Engineering","LOC-045","High","Poor","2026-03-05","2026-10-18","Operational"
"AST-0266","ENG-TO-0266","Turnout","Engineering","LOC-045","High","Critical","2026-04-06","2026-11-19","Under Observation"
"AST-0267","TD-OHE-0267","OHE Mast","Traction Distribution","LOC-045","Critical","Good","2026-05-07","2026-09-20","Maintenance In Progress"
"AST-0268","TD-TSS-0268","Traction Substation","Traction Distribution","LOC-045","Medium","Fair","2026-06-08","2026-10-21","Operational"
"AST-0269","ST-SIG-0269","Signal","Signal & Telecommunication","LOC-045","High","Poor","2026-07-09","2026-11-22","Operational"
"AST-0270","ST-AXC-0270","Axle Counter","Signal & Telecommunication","LOC-045","High","Critical","2026-03-10","2026-09-23","Under Observation"
"AST-0271","ENG-TRK-0271","Track","Engineering","LOC-046","Critical","Good","2026-04-11","2026-10-24","Maintenance In Progress"
"AST-0272","ENG-TO-0272","Turnout","Engineering","LOC-046","Medium","Fair","2026-05-12","2026-11-25","Operational"
"AST-0273","TD-OHE-0273","OHE Mast","Traction Distribution","LOC-046","High","Poor","2026-06-13","2026-09-26","Operational"
"AST-0274","TD-TSS-0274","Traction Substation","Traction Distribution","LOC-046","High","Critical","2026-07-14","2026-10-27","Under Observation"
"AST-0275","ST-SIG-0275","Signal","Signal & Telecommunication","LOC-046","Critical","Good","2026-03-15","2026-11-03","Maintenance In Progress"
"AST-0276","ST-AXC-0276","Axle Counter","Signal & Telecommunication","LOC-046","Medium","Fair","2026-04-16","2026-09-04","Operational"
"AST-0277","ENG-TRK-0277","Track","Engineering","LOC-047","High","Poor","2026-05-17","2026-10-05","Operational"
"AST-0278","ENG-TO-0278","Turnout","Engineering","LOC-047","High","Critical","2026-06-18","2026-11-06","Under Observation"
"AST-0279","TD-OHE-0279","OHE Mast","Traction Distribution","LOC-047","Critical","Good","2026-07-19","2026-09-07","Maintenance In Progress"
"AST-0280","TD-TSS-0280","Traction Substation","Traction Distribution","LOC-047","Medium","Fair","2026-03-20","2026-10-08","Operational"
"AST-0281","ST-SIG-0281","Signal","Signal & Telecommunication","LOC-047","High","Poor","2026-04-21","2026-11-09","Operational"
"AST-0282","ST-AXC-0282","Axle Counter","Signal & Telecommunication","LOC-047","High","Critical","2026-05-22","2026-09-10","Under Observation"
"AST-0283","ENG-TRK-0283","Track","Engineering","LOC-048","Critical","Good","2026-06-23","2026-10-11","Maintenance In Progress"
"AST-0284","ENG-TO-0284","Turnout","Engineering","LOC-048","Medium","Fair","2026-07-24","2026-11-12","Operational"
"AST-0285","TD-OHE-0285","OHE Mast","Traction Distribution","LOC-048","High","Poor","2026-03-25","2026-09-13","Operational"
"AST-0286","TD-TSS-0286","Traction Substation","Traction Distribution","LOC-048","High","Critical","2026-04-26","2026-10-14","Under Observation"
"AST-0287","ST-SIG-0287","Signal","Signal & Telecommunication","LOC-048","Critical","Good","2026-05-27","2026-11-15","Maintenance In Progress"
"AST-0288","ST-AXC-0288","Axle Counter","Signal & Telecommunication","LOC-048","Medium","Fair","2026-06-04","2026-09-16","Operational"
"AST-0289","ENG-TRK-0289","Track","Engineering","LOC-049","High","Poor","2026-07-05","2026-10-17","Operational"
"AST-0290","ENG-TO-0290","Turnout","Engineering","LOC-049","High","Critical","2026-03-06","2026-11-18","Under Observation"
"AST-0291","TD-OHE-0291","OHE Mast","Traction Distribution","LOC-049","Critical","Good","2026-04-07","2026-09-19","Maintenance In Progress"
"AST-0292","TD-TSS-0292","Traction Substation","Traction Distribution","LOC-049","Medium","Fair","2026-05-08","2026-10-20","Operational"
"AST-0293","ST-SIG-0293","Signal","Signal & Telecommunication","LOC-049","High","Poor","2026-06-09","2026-11-21","Operational"
"AST-0294","ST-AXC-0294","Axle Counter","Signal & Telecommunication","LOC-049","High","Critical","2026-07-10","2026-09-22","Under Observation"
"AST-0295","ENG-TRK-0295","Track","Engineering","LOC-050","Critical","Good","2026-03-11","2026-10-23","Maintenance In Progress"
"AST-0296","ENG-TO-0296","Turnout","Engineering","LOC-050","Medium","Fair","2026-04-12","2026-11-24","Operational"
"AST-0297","TD-OHE-0297","OHE Mast","Traction Distribution","LOC-050","High","Poor","2026-05-13","2026-09-25","Operational"
"AST-0298","TD-TSS-0298","Traction Substation","Traction Distribution","LOC-050","High","Critical","2026-06-14","2026-10-26","Under Observation"
"AST-0299","ST-SIG-0299","Signal","Signal & Telecommunication","LOC-050","Critical","Good","2026-07-15","2026-11-27","Maintenance In Progress"
"AST-0300","ST-AXC-0300","Axle Counter","Signal & Telecommunication","LOC-050","Medium","Fair","2026-03-16","2026-09-03","Operational"
"AST-0301","ENG-TRK-0301","Track","Engineering","LOC-051","High","Poor","2026-04-17","2026-10-04","Operational"
"AST-0302","ENG-TO-0302","Turnout","Engineering","LOC-051","High","Critical","2026-05-18","2026-11-05","Under Observation"
"AST-0303","TD-OHE-0303","OHE Mast","Traction Distribution","LOC-051","Critical","Good","2026-06-19","2026-09-06","Maintenance In Progress"
"AST-0304","TD-TSS-0304","Traction Substation","Traction Distribution","LOC-051","Medium","Fair","2026-07-20","2026-10-07","Operational"
"AST-0305","ST-SIG-0305","Signal","Signal & Telecommunication","LOC-051","High","Poor","2026-03-21","2026-11-08","Operational"
"AST-0306","ST-AXC-0306","Axle Counter","Signal & Telecommunication","LOC-051","High","Critical","2026-04-22","2026-09-09","Under Observation"
"AST-0307","ENG-TRK-0307","Track","Engineering","LOC-052","Critical","Good","2026-05-23","2026-10-10","Maintenance In Progress"
"AST-0308","ENG-TO-0308","Turnout","Engineering","LOC-052","Medium","Fair","2026-06-24","2026-11-11","Operational"
"AST-0309","TD-OHE-0309","OHE Mast","Traction Distribution","LOC-052","High","Poor","2026-07-25","2026-09-12","Operational"
"AST-0310","TD-TSS-0310","Traction Substation","Traction Distribution","LOC-052","High","Critical","2026-03-26","2026-10-13","Under Observation"
"AST-0311","ST-SIG-0311","Signal","Signal & Telecommunication","LOC-052","Critical","Good","2026-04-27","2026-11-14","Maintenance In Progress"
"AST-0312","ST-AXC-0312","Axle Counter","Signal & Telecommunication","LOC-052","Medium","Fair","2026-05-04","2026-09-15","Operational"
"AST-0313","ENG-TRK-0313","Track","Engineering","LOC-053","High","Poor","2026-06-05","2026-10-16","Operational"
"AST-0314","ENG-TO-0314","Turnout","Engineering","LOC-053","High","Critical","2026-07-06","2026-11-17","Under Observation"
"AST-0315","TD-OHE-0315","OHE Mast","Traction Distribution","LOC-053","Critical","Good","2026-03-07","2026-09-18","Maintenance In Progress"
"AST-0316","TD-TSS-0316","Traction Substation","Traction Distribution","LOC-053","Medium","Fair","2026-04-08","2026-10-19","Operational"
"AST-0317","ST-SIG-0317","Signal","Signal & Telecommunication","LOC-053","High","Poor","2026-05-09","2026-11-20","Operational"
"AST-0318","ST-AXC-0318","Axle Counter","Signal & Telecommunication","LOC-053","High","Critical","2026-06-10","2026-09-21","Under Observation"
"AST-0319","ENG-TRK-0319","Track","Engineering","LOC-054","Critical","Good","2026-07-11","2026-10-22","Maintenance In Progress"
"AST-0320","ENG-TO-0320","Turnout","Engineering","LOC-054","Medium","Fair","2026-03-12","2026-11-23","Operational"
"AST-0321","TD-OHE-0321","OHE Mast","Traction Distribution","LOC-054","High","Poor","2026-04-13","2026-09-24","Operational"
"AST-0322","TD-TSS-0322","Traction Substation","Traction Distribution","LOC-054","High","Critical","2026-05-14","2026-10-25","Under Observation"
"AST-0323","ST-SIG-0323","Signal","Signal & Telecommunication","LOC-054","Critical","Good","2026-06-15","2026-11-26","Maintenance In Progress"
"AST-0324","ST-AXC-0324","Axle Counter","Signal & Telecommunication","LOC-054","Medium","Fair","2026-07-16","2026-09-27","Operational"
"AST-0325","ENG-TRK-0325","Track","Engineering","LOC-055","High","Poor","2026-03-17","2026-10-03","Operational"
"AST-0326","ENG-TO-0326","Turnout","Engineering","LOC-055","High","Critical","2026-04-18","2026-11-04","Under Observation"
"AST-0327","TD-OHE-0327","OHE Mast","Traction Distribution","LOC-055","Critical","Good","2026-05-19","2026-09-05","Maintenance In Progress"
"AST-0328","TD-TSS-0328","Traction Substation","Traction Distribution","LOC-055","Medium","Fair","2026-06-20","2026-10-06","Operational"
"AST-0329","ST-SIG-0329","Signal","Signal & Telecommunication","LOC-055","High","Poor","2026-07-21","2026-11-07","Operational"
"AST-0330","ST-AXC-0330","Axle Counter","Signal & Telecommunication","LOC-055","High","Critical","2026-03-22","2026-09-08","Under Observation"
"AST-0331","ENG-TRK-0331","Track","Engineering","LOC-056","Critical","Good","2026-04-23","2026-10-09","Maintenance In Progress"
"AST-0332","ENG-TO-0332","Turnout","Engineering","LOC-056","Medium","Fair","2026-05-24","2026-11-10","Operational"
"AST-0333","TD-OHE-0333","OHE Mast","Traction Distribution","LOC-056","High","Poor","2026-06-25","2026-09-11","Operational"
"AST-0334","TD-TSS-0334","Traction Substation","Traction Distribution","LOC-056","High","Critical","2026-07-26","2026-10-12","Under Observation"
"AST-0335","ST-SIG-0335","Signal","Signal & Telecommunication","LOC-056","Critical","Good","2026-03-27","2026-11-13","Maintenance In Progress"
"AST-0336","ST-AXC-0336","Axle Counter","Signal & Telecommunication","LOC-056","Medium","Fair","2026-04-04","2026-09-14","Operational"
"AST-0337","ENG-TRK-0337","Track","Engineering","LOC-057","High","Poor","2026-05-05","2026-10-15","Operational"
"AST-0338","ENG-TO-0338","Turnout","Engineering","LOC-057","High","Critical","2026-06-06","2026-11-16","Under Observation"
"AST-0339","TD-OHE-0339","OHE Mast","Traction Distribution","LOC-057","Critical","Good","2026-07-07","2026-09-17","Maintenance In Progress"
"AST-0340","TD-TSS-0340","Traction Substation","Traction Distribution","LOC-057","Medium","Fair","2026-03-08","2026-10-18","Operational"
"AST-0341","ST-SIG-0341","Signal","Signal & Telecommunication","LOC-057","High","Poor","2026-04-09","2026-11-19","Operational"
"AST-0342","ST-AXC-0342","Axle Counter","Signal & Telecommunication","LOC-057","High","Critical","2026-05-10","2026-09-20","Under Observation"
"AST-0343","ENG-TRK-0343","Track","Engineering","LOC-058","Critical","Good","2026-06-11","2026-10-21","Maintenance In Progress"
"AST-0344","ENG-TO-0344","Turnout","Engineering","LOC-058","Medium","Fair","2026-07-12","2026-11-22","Operational"
"AST-0345","TD-OHE-0345","OHE Mast","Traction Distribution","LOC-058","High","Poor","2026-03-13","2026-09-23","Operational"
"AST-0346","TD-TSS-0346","Traction Substation","Traction Distribution","LOC-058","High","Critical","2026-04-14","2026-10-24","Under Observation"
"AST-0347","ST-SIG-0347","Signal","Signal & Telecommunication","LOC-058","Critical","Good","2026-05-15","2026-11-25","Maintenance In Progress"
"AST-0348","ST-AXC-0348","Axle Counter","Signal & Telecommunication","LOC-058","Medium","Fair","2026-06-16","2026-09-26","Operational"
"AST-0349","ENG-TRK-0349","Track","Engineering","LOC-059","High","Poor","2026-07-17","2026-10-27","Operational"
"AST-0350","ENG-TO-0350","Turnout","Engineering","LOC-059","High","Critical","2026-03-18","2026-11-03","Under Observation"
"AST-0351","TD-OHE-0351","OHE Mast","Traction Distribution","LOC-059","Critical","Good","2026-04-19","2026-09-04","Maintenance In Progress"
"AST-0352","TD-TSS-0352","Traction Substation","Traction Distribution","LOC-059","Medium","Fair","2026-05-20","2026-10-05","Operational"
"AST-0353","ST-SIG-0353","Signal","Signal & Telecommunication","LOC-059","High","Poor","2026-06-21","2026-11-06","Operational"
"AST-0354","ST-AXC-0354","Axle Counter","Signal & Telecommunication","LOC-059","High","Critical","2026-07-22","2026-09-07","Under Observation"
"AST-0355","ENG-TRK-0355","Track","Engineering","LOC-060","Critical","Good","2026-03-23","2026-10-08","Maintenance In Progress"
"AST-0356","ENG-TO-0356","Turnout","Engineering","LOC-060","Medium","Fair","2026-04-24","2026-11-09","Operational"
"AST-0357","TD-OHE-0357","OHE Mast","Traction Distribution","LOC-060","High","Poor","2026-05-25","2026-09-10","Operational"
"AST-0358","TD-TSS-0358","Traction Substation","Traction Distribution","LOC-060","High","Critical","2026-06-26","2026-10-11","Under Observation"
"AST-0359","ST-SIG-0359","Signal","Signal & Telecommunication","LOC-060","Critical","Good","2026-07-27","2026-11-12","Maintenance In Progress"
"AST-0360","ST-AXC-0360","Axle Counter","Signal & Telecommunication","LOC-060","Medium","Fair","2026-03-04","2026-09-13","Operational"
"AST-0361","ENG-TRK-0361","Track","Engineering","LOC-061","High","Poor","2026-04-05","2026-10-14","Operational"
"AST-0362","ENG-TO-0362","Turnout","Engineering","LOC-061","High","Critical","2026-05-06","2026-11-15","Under Observation"
"AST-0363","TD-OHE-0363","OHE Mast","Traction Distribution","LOC-061","Critical","Good","2026-06-07","2026-09-16","Maintenance In Progress"
"AST-0364","TD-TSS-0364","Traction Substation","Traction Distribution","LOC-061","Medium","Fair","2026-07-08","2026-10-17","Operational"
"AST-0365","ST-SIG-0365","Signal","Signal & Telecommunication","LOC-061","High","Poor","2026-03-09","2026-11-18","Operational"
"AST-0366","ST-AXC-0366","Axle Counter","Signal & Telecommunication","LOC-061","High","Critical","2026-04-10","2026-09-19","Under Observation"
"AST-0367","ENG-TRK-0367","Track","Engineering","LOC-062","Critical","Good","2026-05-11","2026-10-20","Maintenance In Progress"
"AST-0368","ENG-TO-0368","Turnout","Engineering","LOC-062","Medium","Fair","2026-06-12","2026-11-21","Operational"
"AST-0369","TD-OHE-0369","OHE Mast","Traction Distribution","LOC-062","High","Poor","2026-07-13","2026-09-22","Operational"
"AST-0370","TD-TSS-0370","Traction Substation","Traction Distribution","LOC-062","High","Critical","2026-03-14","2026-10-23","Under Observation"
"AST-0371","ST-SIG-0371","Signal","Signal & Telecommunication","LOC-062","Critical","Good","2026-04-15","2026-11-24","Maintenance In Progress"
"AST-0372","ST-AXC-0372","Axle Counter","Signal & Telecommunication","LOC-062","Medium","Fair","2026-05-16","2026-09-25","Operational"
"AST-0373","ENG-TRK-0373","Track","Engineering","LOC-063","High","Poor","2026-06-17","2026-10-26","Operational"
"AST-0374","ENG-TO-0374","Turnout","Engineering","LOC-063","High","Critical","2026-07-18","2026-11-27","Under Observation"
"AST-0375","TD-OHE-0375","OHE Mast","Traction Distribution","LOC-063","Critical","Good","2026-03-19","2026-09-03","Maintenance In Progress"
"AST-0376","TD-TSS-0376","Traction Substation","Traction Distribution","LOC-063","Medium","Fair","2026-04-20","2026-10-04","Operational"
"AST-0377","ST-SIG-0377","Signal","Signal & Telecommunication","LOC-063","High","Poor","2026-05-21","2026-11-05","Operational"
"AST-0378","ST-AXC-0378","Axle Counter","Signal & Telecommunication","LOC-063","High","Critical","2026-06-22","2026-09-06","Under Observation"
"AST-0379","ENG-TRK-0379","Track","Engineering","LOC-064","Critical","Good","2026-07-23","2026-10-07","Maintenance In Progress"
"AST-0380","ENG-TO-0380","Turnout","Engineering","LOC-064","Medium","Fair","2026-03-24","2026-11-08","Operational"
"AST-0381","TD-OHE-0381","OHE Mast","Traction Distribution","LOC-064","High","Poor","2026-04-25","2026-09-09","Operational"
"AST-0382","TD-TSS-0382","Traction Substation","Traction Distribution","LOC-064","High","Critical","2026-05-26","2026-10-10","Under Observation"
"AST-0383","ST-SIG-0383","Signal","Signal & Telecommunication","LOC-064","Critical","Good","2026-06-27","2026-11-11","Maintenance In Progress"
"AST-0384","ST-AXC-0384","Axle Counter","Signal & Telecommunication","LOC-064","Medium","Fair","2026-07-04","2026-09-12","Operational"
"AST-0385","ENG-TRK-0385","Track","Engineering","LOC-065","High","Poor","2026-03-05","2026-10-13","Operational"
"AST-0386","ENG-TO-0386","Turnout","Engineering","LOC-065","High","Critical","2026-04-06","2026-11-14","Under Observation"
"AST-0387","TD-OHE-0387","OHE Mast","Traction Distribution","LOC-065","Critical","Good","2026-05-07","2026-09-15","Maintenance In Progress"
"AST-0388","TD-TSS-0388","Traction Substation","Traction Distribution","LOC-065","Medium","Fair","2026-06-08","2026-10-16","Operational"
"AST-0389","ST-SIG-0389","Signal","Signal & Telecommunication","LOC-065","High","Poor","2026-07-09","2026-11-17","Operational"
"AST-0390","ST-AXC-0390","Axle Counter","Signal & Telecommunication","LOC-065","High","Critical","2026-03-10","2026-09-18","Under Observation"
"AST-0391","ENG-TRK-0391","Track","Engineering","LOC-066","Critical","Good","2026-04-11","2026-10-19","Maintenance In Progress"
"AST-0392","ENG-TO-0392","Turnout","Engineering","LOC-066","Medium","Fair","2026-05-12","2026-11-20","Operational"
"AST-0393","TD-OHE-0393","OHE Mast","Traction Distribution","LOC-066","High","Poor","2026-06-13","2026-09-21","Operational"
"AST-0394","TD-TSS-0394","Traction Substation","Traction Distribution","LOC-066","High","Critical","2026-07-14","2026-10-22","Under Observation"
"AST-0395","ST-SIG-0395","Signal","Signal & Telecommunication","LOC-066","Critical","Good","2026-03-15","2026-11-23","Maintenance In Progress"
"AST-0396","ST-AXC-0396","Axle Counter","Signal & Telecommunication","LOC-066","Medium","Fair","2026-04-16","2026-09-24","Operational"
"AST-0397","ENG-TRK-0397","Track","Engineering","LOC-067","High","Poor","2026-05-17","2026-10-25","Operational"
"AST-0398","ENG-TO-0398","Turnout","Engineering","LOC-067","High","Critical","2026-06-18","2026-11-26","Under Observation"
"AST-0399","TD-OHE-0399","OHE Mast","Traction Distribution","LOC-067","Critical","Good","2026-07-19","2026-09-27","Maintenance In Progress"
"AST-0400","TD-TSS-0400","Traction Substation","Traction Distribution","LOC-067","Medium","Fair","2026-03-20","2026-10-03","Operational"
"AST-0401","ST-SIG-0401","Signal","Signal & Telecommunication","LOC-067","High","Poor","2026-04-21","2026-11-04","Operational"
"AST-0402","ST-AXC-0402","Axle Counter","Signal & Telecommunication","LOC-067","High","Critical","2026-05-22","2026-09-05","Under Observation"
"AST-0403","ENG-TRK-0403","Track","Engineering","LOC-068","Critical","Good","2026-06-23","2026-10-06","Maintenance In Progress"
"AST-0404","ENG-TO-0404","Turnout","Engineering","LOC-068","Medium","Fair","2026-07-24","2026-11-07","Operational"
"AST-0405","TD-OHE-0405","OHE Mast","Traction Distribution","LOC-068","High","Poor","2026-03-25","2026-09-08","Operational"
"AST-0406","TD-TSS-0406","Traction Substation","Traction Distribution","LOC-068","High","Critical","2026-04-26","2026-10-09","Under Observation"
"AST-0407","ST-SIG-0407","Signal","Signal & Telecommunication","LOC-068","Critical","Good","2026-05-27","2026-11-10","Maintenance In Progress"
"AST-0408","ST-AXC-0408","Axle Counter","Signal & Telecommunication","LOC-068","Medium","Fair","2026-06-04","2026-09-11","Operational"
"AST-0409","ENG-TRK-0409","Track","Engineering","LOC-069","High","Poor","2026-07-05","2026-10-12","Operational"
"AST-0410","ENG-TO-0410","Turnout","Engineering","LOC-069","High","Critical","2026-03-06","2026-11-13","Under Observation"
"AST-0411","TD-OHE-0411","OHE Mast","Traction Distribution","LOC-069","Critical","Good","2026-04-07","2026-09-14","Maintenance In Progress"
"AST-0412","TD-TSS-0412","Traction Substation","Traction Distribution","LOC-069","Medium","Fair","2026-05-08","2026-10-15","Operational"
"AST-0413","ST-SIG-0413","Signal","Signal & Telecommunication","LOC-069","High","Poor","2026-06-09","2026-11-16","Operational"
"AST-0414","ST-AXC-0414","Axle Counter","Signal & Telecommunication","LOC-069","High","Critical","2026-07-10","2026-09-17","Under Observation"
"AST-0415","ENG-TRK-0415","Track","Engineering","LOC-070","Critical","Good","2026-03-11","2026-10-18","Maintenance In Progress"
"AST-0416","ENG-TO-0416","Turnout","Engineering","LOC-070","Medium","Fair","2026-04-12","2026-11-19","Operational"
"AST-0417","TD-OHE-0417","OHE Mast","Traction Distribution","LOC-070","High","Poor","2026-05-13","2026-09-20","Operational"
"AST-0418","TD-TSS-0418","Traction Substation","Traction Distribution","LOC-070","High","Critical","2026-06-14","2026-10-21","Under Observation"
"AST-0419","ST-SIG-0419","Signal","Signal & Telecommunication","LOC-070","Critical","Good","2026-07-15","2026-11-22","Maintenance In Progress"
"AST-0420","ST-AXC-0420","Axle Counter","Signal & Telecommunication","LOC-070","Medium","Fair","2026-03-16","2026-09-23","Operational"
"AST-0421","ENG-TRK-0421","Track","Engineering","LOC-071","High","Poor","2026-04-17","2026-10-24","Operational"
"AST-0422","ENG-TO-0422","Turnout","Engineering","LOC-071","High","Critical","2026-05-18","2026-11-25","Under Observation"
"AST-0423","TD-OHE-0423","OHE Mast","Traction Distribution","LOC-071","Critical","Good","2026-06-19","2026-09-26","Maintenance In Progress"
"AST-0424","TD-TSS-0424","Traction Substation","Traction Distribution","LOC-071","Medium","Fair","2026-07-20","2026-10-27","Operational"
"AST-0425","ST-SIG-0425","Signal","Signal & Telecommunication","LOC-071","High","Poor","2026-03-21","2026-11-03","Operational"
"AST-0426","ST-AXC-0426","Axle Counter","Signal & Telecommunication","LOC-071","High","Critical","2026-04-22","2026-09-04","Under Observation"
"AST-0427","ENG-TRK-0427","Track","Engineering","LOC-072","Critical","Good","2026-05-23","2026-10-05","Maintenance In Progress"
"AST-0428","ENG-TO-0428","Turnout","Engineering","LOC-072","Medium","Fair","2026-06-24","2026-11-06","Operational"
"AST-0429","TD-OHE-0429","OHE Mast","Traction Distribution","LOC-072","High","Poor","2026-07-25","2026-09-07","Operational"
"AST-0430","TD-TSS-0430","Traction Substation","Traction Distribution","LOC-072","High","Critical","2026-03-26","2026-10-08","Under Observation"
"AST-0431","ST-SIG-0431","Signal","Signal & Telecommunication","LOC-072","Critical","Good","2026-04-27","2026-11-09","Maintenance In Progress"
