"task_id","asset_id","location_id","corridor","task_type","description","severity","failure_probability","asset_criticality","traffic_impact","estimated_duration_minutes","required_department","earliest_start","deadline","status","priority_score"
"TSK-0285","AST-0143","LOC-024","Bihar: Patna-Gaya","Preventive Maintenance","Synthetic demo: Signal at LOC-024","Medium","0.6","Critical","Low","52","Signal & Telecommunication","2026-09-15 15:00:00","2026-09-22 15:00:00","Pending",""
"TSK-0286","AST-0143","LOC-024","Bihar: Patna-Gaya","Condition Monitoring","Synthetic demo: Signal at LOC-024","Critical","0.61","Critical","Medium","69","Signal & Telecommunication","2026-09-15 18:00:00","2026-09-23 18:00:00","In Progress",""
"TSK-0287","AST-0144","LOC-024","Bihar: Patna-Gaya","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-024","Critical","0.62","Medium","High","86","Signal & Telecommunication","2026-09-15 21:00:00","2026-09-24 21:00:00","Pending",""
"TSK-0288","AST-0144","LOC-024","Bihar: Patna-Gaya","Inspection","Synthetic demo: Axle Counter at LOC-024","Medium","0.63","Medium","Low","103","Signal & Telecommunication","2026-09-16 00:00:00","2026-09-26 00:00:00","Pending",""
"TSK-0289","AST-0145","LOC-025","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Track at LOC-025","Medium","0.64","High","Medium","49","Engineering","2026-09-16 03:00:00","2026-09-27 03:00:00","Scheduled",""
"TSK-0290","AST-0145","LOC-025","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Track at LOC-025","Critical","0.65","High","High","66","Engineering","2026-09-16 06:00:00","2026-09-28 06:00:00","Pending",""
"TSK-0291","AST-0146","LOC-025","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Turnout at LOC-025","Critical","0.66","High","Low","83","Engineering","2026-09-16 09:00:00","2026-09-29 09:00:00","Pending",""
"TSK-0292","AST-0146","LOC-025","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Turnout at LOC-025","Medium","0.67","High","Medium","100","Engineering","2026-09-16 12:00:00","2026-09-30 12:00:00","Pending",""
"TSK-0293","AST-0147","LOC-025","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-025","Medium","0.68","Critical","High","46","Traction Distribution","2026-09-16 15:00:00","2026-10-01 15:00:00","Pending",""
"TSK-0294","AST-0147","LOC-025","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: OHE Mast at LOC-025","Critical","0.69","Critical","Low","63","Traction Distribution","2026-09-16 18:00:00","2026-09-18 18:00:00","Pending",""
"TSK-0295","AST-0148","LOC-025","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-025","Critical","0.7","Medium","Medium","80","Traction Distribution","2026-09-16 21:00:00","2026-09-19 21:00:00","Pending",""
"TSK-0296","AST-0148","LOC-025","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Traction Substation at LOC-025","Medium","0.71","Medium","High","97","Traction Distribution","2026-09-17 00:00:00","2026-09-21 00:00:00","Pending",""
"TSK-0297","AST-0149","LOC-025","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Signal at LOC-025","Medium","0.72","High","Low","43","Signal & Telecommunication","2026-09-17 03:00:00","2026-09-22 03:00:00","Pending",""
"TSK-0298","AST-0149","LOC-025","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Signal at LOC-025","Critical","0.73","High","Medium","60","Signal & Telecommunication","2026-09-17 06:00:00","2026-09-23 06:00:00","Pending",""
"TSK-0299","AST-0150","LOC-025","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-025","Critical","0.74","High","High","77","Signal & Telecommunication","2026-09-17 09:00:00","2026-09-24 09:00:00","In Progress",""
"TSK-0300","AST-0150","LOC-025","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Axle Counter at LOC-025","Medium","0.75","High","Low","94","Signal & Telecommunication","2026-09-17 12:00:00","2026-09-25 12:00:00","Pending",""
"TSK-0301","AST-0151","LOC-026","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Track at LOC-026","Medium","0.76","Critical","Medium","40","Engineering","2026-09-17 15:00:00","2026-09-26 15:00:00","Pending",""
"TSK-0302","AST-0151","LOC-026","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Track at LOC-026","Critical","0.77","Critical","High","57","Engineering","2026-09-17 18:00:00","2026-09-27 18:00:00","Pending",""
"TSK-0303","AST-0152","LOC-026","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Turnout at LOC-026","Critical","0.78","Medium","Low","74","Engineering","2026-09-17 21:00:00","2026-09-28 21:00:00","Pending",""
"TSK-0304","AST-0152","LOC-026","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Turnout at LOC-026","Medium","0.79","Medium","Medium","91","Engineering","2026-09-18 00:00:00","2026-09-30 00:00:00","Pending",""
"TSK-0305","AST-0153","LOC-026","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-026","Medium","0.8","High","High","37","Traction Distribution","2026-09-18 03:00:00","2026-10-01 03:00:00","Pending",""
"TSK-0306","AST-0153","LOC-026","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: OHE Mast at LOC-026","Critical","0.81","High","Low","54","Traction Distribution","2026-09-18 06:00:00","2026-10-02 06:00:00","Scheduled",""
"TSK-0307","AST-0154","LOC-026","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-026","Critical","0.82","High","Medium","71","Traction Distribution","2026-09-18 09:00:00","2026-10-03 09:00:00","Pending",""
"TSK-0308","AST-0154","LOC-026","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Traction Substation at LOC-026","Medium","0.83","High","High","88","Traction Distribution","2026-09-18 12:00:00","2026-09-20 12:00:00","Pending",""
"TSK-0309","AST-0155","LOC-026","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Signal at LOC-026","Medium","0.84","Critical","Low","105","Signal & Telecommunication","2026-09-18 15:00:00","2026-09-21 15:00:00","Pending",""
"TSK-0310","AST-0155","LOC-026","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Signal at LOC-026","Critical","0.85","Critical","Medium","51","Signal & Telecommunication","2026-09-18 18:00:00","2026-09-22 18:00:00","Pending",""
"TSK-0311","AST-0156","LOC-026","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-026","Critical","0.86","Medium","High","68","Signal & Telecommunication","2026-09-18 21:00:00","2026-09-23 21:00:00","Pending",""
"TSK-0312","AST-0156","LOC-026","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Axle Counter at LOC-026","Medium","0.87","Medium","Low","85","Signal & Telecommunication","2026-09-19 00:00:00","2026-09-25 00:00:00","In Progress",""
"TSK-0313","AST-0157","LOC-027","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Track at LOC-027","Medium","0.88","High","Medium","102","Engineering","2026-09-19 03:00:00","2026-09-26 03:00:00","Pending",""
"TSK-0314","AST-0157","LOC-027","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Track at LOC-027","Critical","0.89","High","High","48","Engineering","2026-09-19 06:00:00","2026-09-27 06:00:00","Pending",""
"TSK-0315","AST-0158","LOC-027","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Turnout at LOC-027","Critical","0.9","High","Low","65","Engineering","2026-09-19 09:00:00","2026-09-28 09:00:00","Pending",""
"TSK-0316","AST-0158","LOC-027","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Turnout at LOC-027","Medium","0.12","High","Medium","82","Engineering","2026-09-19 12:00:00","2026-09-29 12:00:00","Pending",""
"TSK-0317","AST-0159","LOC-027","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-027","Medium","0.13","Critical","High","99","Traction Distribution","2026-09-19 15:00:00","2026-09-30 15:00:00","Pending",""
"TSK-0318","AST-0159","LOC-027","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: OHE Mast at LOC-027","Critical","0.14","Critical","Low","45","Traction Distribution","2026-09-19 18:00:00","2026-10-01 18:00:00","Pending",""
"TSK-0319","AST-0160","LOC-027","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-027","Critical","0.15","Medium","Medium","62","Traction Distribution","2026-09-19 21:00:00","2026-10-02 21:00:00","Pending",""
"TSK-0320","AST-0160","LOC-027","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Traction Substation at LOC-027","Medium","0.16","Medium","High","79","Traction Distribution","2026-09-20 00:00:00","2026-10-04 00:00:00","Pending",""
"TSK-0321","AST-0161","LOC-027","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Signal at LOC-027","Medium","0.17","High","Low","96","Signal & Telecommunication","2026-09-20 03:00:00","2026-10-05 03:00:00","Pending",""
"TSK-0322","AST-0161","LOC-027","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Signal at LOC-027","Critical","0.18","High","Medium","42","Signal & Telecommunication","2026-09-20 06:00:00","2026-09-22 06:00:00","Pending",""
"TSK-0323","AST-0162","LOC-027","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-027","Critical","0.19","High","High","59","Signal & Telecommunication","2026-09-20 09:00:00","2026-09-23 09:00:00","Scheduled",""
"TSK-0324","AST-0162","LOC-027","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Axle Counter at LOC-027","Medium","0.2","High","Low","76","Signal & Telecommunication","2026-09-20 12:00:00","2026-09-24 12:00:00","Pending",""
"TSK-0325","AST-0163","LOC-028","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Track at LOC-028","Medium","0.21","Critical","Medium","93","Engineering","2026-09-20 15:00:00","2026-09-25 15:00:00","In Progress",""
"TSK-0326","AST-0163","LOC-028","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Track at LOC-028","Critical","0.22","Critical","High","39","Engineering","2026-09-20 18:00:00","2026-09-26 18:00:00","Pending",""
"TSK-0327","AST-0164","LOC-028","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Turnout at LOC-028","Critical","0.23","Medium","Low","56","Engineering","2026-09-20 21:00:00","2026-09-27 21:00:00","Pending",""
"TSK-0328","AST-0164","LOC-028","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Turnout at LOC-028","Medium","0.24","Medium","Medium","73","Engineering","2026-09-21 00:00:00","2026-09-29 00:00:00","Pending",""
"TSK-0329","AST-0165","LOC-028","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-028","Medium","0.25","High","High","90","Traction Distribution","2026-09-21 03:00:00","2026-09-30 03:00:00","Pending",""
"TSK-0330","AST-0165","LOC-028","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: OHE Mast at LOC-028","Critical","0.26","High","Low","36","Traction Distribution","2026-09-21 06:00:00","2026-10-01 06:00:00","Pending",""
"TSK-0331","AST-0166","LOC-028","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-028","Critical","0.27","High","Medium","53","Traction Distribution","2026-09-21 09:00:00","2026-10-02 09:00:00","Pending",""
"TSK-0332","AST-0166","LOC-028","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Traction Substation at LOC-028","Medium","0.28","High","High","70","Traction Distribution","2026-09-21 12:00:00","2026-10-03 12:00:00","Pending",""
"TSK-0333","AST-0167","LOC-028","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Signal at LOC-028","Medium","0.29","Critical","Low","87","Signal & Telecommunication","2026-09-21 15:00:00","2026-10-04 15:00:00","Pending",""
"TSK-0334","AST-0167","LOC-028","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Signal at LOC-028","Critical","0.3","Critical","Medium","104","Signal & Telecommunication","2026-09-21 18:00:00","2026-10-05 18:00:00","Pending",""
"TSK-0335","AST-0168","LOC-028","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-028","Critical","0.31","Medium","High","50","Signal & Telecommunication","2026-09-21 21:00:00","2026-10-06 21:00:00","Pending",""
"TSK-0336","AST-0168","LOC-028","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Axle Counter at LOC-028","Medium","0.32","Medium","Low","67","Signal & Telecommunication","2026-09-01 00:00:00","2026-09-03 00:00:00","Pending",""
"TSK-0337","AST-0169","LOC-029","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Track at LOC-029","Medium","0.33","High","Medium","84","Engineering","2026-09-01 03:00:00","2026-09-04 03:00:00","Pending",""
"TSK-0338","AST-0169","LOC-029","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Track at LOC-029","Critical","0.34","High","High","101","Engineering","2026-09-01 06:00:00","2026-09-05 06:00:00","In Progress",""
"TSK-0339","AST-0170","LOC-029","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Turnout at LOC-029","Critical","0.35","High","Low","47","Engineering","2026-09-01 09:00:00","2026-09-06 09:00:00","Pending",""
"TSK-0340","AST-0170","LOC-029","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Turnout at LOC-029","Medium","0.36","High","Medium","64","Engineering","2026-09-01 12:00:00","2026-09-07 12:00:00","Scheduled",""
"TSK-0341","AST-0171","LOC-029","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-029","Medium","0.37","Critical","High","81","Traction Distribution","2026-09-01 15:00:00","2026-09-08 15:00:00","Pending",""
"TSK-0342","AST-0171","LOC-029","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: OHE Mast at LOC-029","Critical","0.38","Critical","Low","98","Traction Distribution","2026-09-01 18:00:00","2026-09-09 18:00:00","Pending",""
"TSK-0343","AST-0172","LOC-029","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-029","Critical","0.39","Medium","Medium","44","Traction Distribution","2026-09-01 21:00:00","2026-09-10 21:00:00","Pending",""
"TSK-0344","AST-0172","LOC-029","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Traction Substation at LOC-029","Medium","0.4","Medium","High","61","Traction Distribution","2026-09-02 00:00:00","2026-09-12 00:00:00","Pending",""
"TSK-0345","AST-0173","LOC-029","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Signal at LOC-029","Medium","0.41","High","Low","78","Signal & Telecommunication","2026-09-02 03:00:00","2026-09-13 03:00:00","Pending",""
"TSK-0346","AST-0173","LOC-029","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Signal at LOC-029","Critical","0.42","High","Medium","95","Signal & Telecommunication","2026-09-02 06:00:00","2026-09-14 06:00:00","Pending",""
"TSK-0347","AST-0174","LOC-029","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-029","Critical","0.43","High","High","41","Signal & Telecommunication","2026-09-02 09:00:00","2026-09-15 09:00:00","Pending",""
"TSK-0348","AST-0174","LOC-029","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Axle Counter at LOC-029","Medium","0.44","High","Low","58","Signal & Telecommunication","2026-09-02 12:00:00","2026-09-16 12:00:00","Pending",""
"TSK-0349","AST-0175","LOC-030","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Track at LOC-030","Medium","0.45","Critical","Medium","75","Engineering","2026-09-02 15:00:00","2026-09-17 15:00:00","Pending",""
"TSK-0350","AST-0175","LOC-030","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Track at LOC-030","Critical","0.46","Critical","High","92","Engineering","2026-09-02 18:00:00","2026-09-04 18:00:00","Pending",""
"TSK-0351","AST-0176","LOC-030","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Turnout at LOC-030","Critical","0.47","Medium","Low","38","Engineering","2026-09-02 21:00:00","2026-09-05 21:00:00","In Progress",""
"TSK-0352","AST-0176","LOC-030","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Turnout at LOC-030","Medium","0.48","Medium","Medium","55","Engineering","2026-09-03 00:00:00","2026-09-07 00:00:00","Pending",""
"TSK-0353","AST-0177","LOC-030","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-030","Medium","0.49","High","High","72","Traction Distribution","2026-09-03 03:00:00","2026-09-08 03:00:00","Pending",""
"TSK-0354","AST-0177","LOC-030","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: OHE Mast at LOC-030","Critical","0.5","High","Low","89","Traction Distribution","2026-09-03 06:00:00","2026-09-09 06:00:00","Pending",""
"TSK-0355","AST-0178","LOC-030","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-030","Critical","0.51","High","Medium","35","Traction Distribution","2026-09-03 09:00:00","2026-09-10 09:00:00","Pending",""
"TSK-0356","AST-0178","LOC-030","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Traction Substation at LOC-030","Medium","0.52","High","High","52","Traction Distribution","2026-09-03 12:00:00","2026-09-11 12:00:00","Pending",""
"TSK-0357","AST-0179","LOC-030","Chhattisgarh: Raipur-Bilaspur","Preventive Maintenance","Synthetic demo: Signal at LOC-030","Medium","0.53","Critical","Low","69","Signal & Telecommunication","2026-09-03 15:00:00","2026-09-12 15:00:00","Scheduled",""
"TSK-0358","AST-0179","LOC-030","Chhattisgarh: Raipur-Bilaspur","Condition Monitoring","Synthetic demo: Signal at LOC-030","Critical","0.54","Critical","Medium","86","Signal & Telecommunication","2026-09-03 18:00:00","2026-09-13 18:00:00","Pending",""
"TSK-0359","AST-0180","LOC-030","Chhattisgarh: Raipur-Bilaspur","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-030","Critical","0.55","Medium","High","103","Signal & Telecommunication","2026-09-03 21:00:00","2026-09-14 21:00:00","Pending",""
"TSK-0360","AST-0180","LOC-030","Chhattisgarh: Raipur-Bilaspur","Inspection","Synthetic demo: Axle Counter at LOC-030","Medium","0.56","Medium","Low","49","Signal & Telecommunication","2026-09-04 00:00:00","2026-09-16 00:00:00","Pending",""
"TSK-0361","AST-0181","LOC-031","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: Track at LOC-031","Medium","0.57","High","Medium","66","Engineering","2026-09-04 03:00:00","2026-09-17 03:00:00","Pending",""
"TSK-0362","AST-0181","LOC-031","Goa: Madgaon-Vasco","Condition Monitoring","Synthetic demo: Track at LOC-031","Critical","0.58","High","High","83","Engineering","2026-09-04 06:00:00","2026-09-18 06:00:00","Pending",""
"TSK-0363","AST-0182","LOC-031","Goa: Madgaon-Vasco","Corrective Maintenance","Synthetic demo: Turnout at LOC-031","Critical","0.59","High","Low","100","Engineering","2026-09-04 09:00:00","2026-09-19 09:00:00","Pending",""
"TSK-0364","AST-0182","LOC-031","Goa: Madgaon-Vasco","Inspection","Synthetic demo: Turnout at LOC-031","Medium","0.6","High","Medium","46","Engineering","2026-09-04 12:00:00","2026-09-06 12:00:00","In Progress",""
"TSK-0365","AST-0183","LOC-031","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-031","Medium","0.61","Critical","High","63","Traction Distribution","2026-09-04 15:00:00","2026-09-07 15:00:00","Pending",""
"TSK-0366","AST-0183","LOC-031","Goa: Madgaon-Vasco","Condition Monitoring","Synthetic demo: OHE Mast at LOC-031","Critical","0.62","Critical","Low","80","Traction Distribution","2026-09-04 18:00:00","2026-09-08 18:00:00","Pending",""
"TSK-0367","AST-0184","LOC-031","Goa: Madgaon-Vasco","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-031","Critical","0.63","Medium","Medium","97","Traction Distribution","2026-09-04 21:00:00","2026-09-09 21:00:00","Pending",""
"TSK-0368","AST-0184","LOC-031","Goa: Madgaon-Vasco","Inspection","Synthetic demo: Traction Substation at LOC-031","Medium","0.64","Medium","High","43","Traction Distribution","2026-09-05 00:00:00","2026-09-11 00:00:00","Pending",""
"TSK-0369","AST-0185","LOC-031","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: Signal at LOC-031","Medium","0.65","High","Low","60","Signal & Telecommunication","2026-09-05 03:00:00","2026-09-12 03:00:00","Pending",""
"TSK-0370","AST-0185","LOC-031","Goa: Madgaon-Vasco","Condition Monitoring","Synthetic demo: Signal at LOC-031","Critical","0.66","High","Medium","77","Signal & Telecommunication","2026-09-05 06:00:00","2026-09-13 06:00:00","Pending",""
"TSK-0371","AST-0186","LOC-031","Goa: Madgaon-Vasco","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-031","Critical","0.67","High","High","94","Signal & Telecommunication","2026-09-05 09:00:00","2026-09-14 09:00:00","Pending",""
"TSK-0372","AST-0186","LOC-031","Goa: Madgaon-Vasco","Inspection","Synthetic demo: Axle Counter at LOC-031","Medium","0.68","High","Low","40","Signal & Telecommunication","2026-09-05 12:00:00","2026-09-15 12:00:00","Pending",""
"TSK-0373","AST-0187","LOC-032","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: Track at LOC-032","Medium","0.69","Critical","Medium","57","Engineering","2026-09-05 15:00:00","2026-09-16 15:00:00","Pending",""
"TSK-0374","AST-0187","LOC-032","Goa: Madgaon-Vasco","Condition Monitoring","Synthetic demo: Track at LOC-032","Critical","0.7","Critical","High","74","Engineering","2026-09-05 18:00:00","2026-09-17 18:00:00","Scheduled",""
"TSK-0375","AST-0188","LOC-032","Goa: Madgaon-Vasco","Corrective Maintenance","Synthetic demo: Turnout at LOC-032","Critical","0.71","Medium","Low","91","Engineering","2026-09-05 21:00:00","2026-09-18 21:00:00","Pending",""
"TSK-0376","AST-0188","LOC-032","Goa: Madgaon-Vasco","Inspection","Synthetic demo: Turnout at LOC-032","Medium","0.72","Medium","Medium","37","Engineering","2026-09-06 00:00:00","2026-09-20 00:00:00","Pending",""
"TSK-0377","AST-0189","LOC-032","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-032","Medium","0.73","High","High","54","Traction Distribution","2026-09-06 03:00:00","2026-09-21 03:00:00","In Progress",""
"TSK-0378","AST-0189","LOC-032","Goa: Madgaon-Vasco","Condition Monitoring","Synthetic demo: OHE Mast at LOC-032","Critical","0.74","High","Low","71","Traction Distribution","2026-09-06 06:00:00","2026-09-08 06:00:00","Pending",""
"TSK-0379","AST-0190","LOC-032","Goa: Madgaon-Vasco","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-032","Critical","0.75","High","Medium","88","Traction Distribution","2026-09-06 09:00:00","2026-09-09 09:00:00","Pending",""
"TSK-0380","AST-0190","LOC-032","Goa: Madgaon-Vasco","Inspection","Synthetic demo: Traction Substation at LOC-032","Medium","0.76","High","High","105","Traction Distribution","2026-09-06 12:00:00","2026-09-10 12:00:00","Pending",""
"TSK-0381","AST-0191","LOC-032","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: Signal at LOC-032","Medium","0.77","Critical","Low","51","Signal & Telecommunication","2026-09-06 15:00:00","2026-09-11 15:00:00","Pending",""
"TSK-0382","AST-0191","LOC-032","Goa: Madgaon-Vasco","Condition Monitoring","Synthetic demo: Signal at LOC-032","Critical","0.78","Critical","Medium","68","Signal & Telecommunication","2026-09-06 18:00:00","2026-09-12 18:00:00","Pending",""
"TSK-0383","AST-0192","LOC-032","Goa: Madgaon-Vasco","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-032","Critical","0.79","Medium","High","85","Signal & Telecommunication","2026-09-06 21:00:00","2026-09-13 21:00:00","Pending",""
"TSK-0384","AST-0192","LOC-032","Goa: Madgaon-Vasco","Inspection","Synthetic demo: Axle Counter at LOC-032","Medium","0.8","Medium","Low","102","Signal & Telecommunication","2026-09-07 00:00:00","2026-09-15 00:00:00","Pending",""
"TSK-0385","AST-0193","LOC-033","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: Track at LOC-033","Medium","0.81","High","Medium","48","Engineering","2026-09-07 03:00:00","2026-09-16 03:00:00","Pending",""
"TSK-0386","AST-0193","LOC-033","Goa: Madgaon-Vasco","Condition Monitoring","Synthetic demo: Track at LOC-033","Critical","0.82","High","High","65","Engineering","2026-09-07 06:00:00","2026-09-17 06:00:00","Pending",""
"TSK-0387","AST-0194","LOC-033","Goa: Madgaon-Vasco","Corrective Maintenance","Synthetic demo: Turnout at LOC-033","Critical","0.83","High","Low","82","Engineering","2026-09-07 09:00:00","2026-09-18 09:00:00","Pending",""
"TSK-0388","AST-0194","LOC-033","Goa: Madgaon-Vasco","Inspection","Synthetic demo: Turnout at LOC-033","Medium","0.84","High","Medium","99","Engineering","2026-09-07 12:00:00","2026-09-19 12:00:00","Pending",""
"TSK-0389","AST-0195","LOC-033","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: OHE Mast at LOC-033","Medium","0.85","Critical","High","45","Traction Distribution","2026-09-07 15:00:00","2026-09-20 15:00:00","Pending",""
"TSK-0390","AST-0195","LOC-033","Goa: Madgaon-Vasco","Condition Monitoring","Synthetic demo: OHE Mast at LOC-033","Critical","0.86","Critical","Low","62","Traction Distribution","2026-09-07 18:00:00","2026-09-21 18:00:00","In Progress",""
"TSK-0391","AST-0196","LOC-033","Goa: Madgaon-Vasco","Corrective Maintenance","Synthetic demo: Traction Substation at LOC-033","Critical","0.87","Medium","Medium","79","Traction Distribution","2026-09-07 21:00:00","2026-09-22 21:00:00","Scheduled",""
"TSK-0392","AST-0196","LOC-033","Goa: Madgaon-Vasco","Inspection","Synthetic demo: Traction Substation at LOC-033","Medium","0.88","Medium","High","96","Traction Distribution","2026-09-08 00:00:00","2026-09-10 00:00:00","Pending",""
"TSK-0393","AST-0197","LOC-033","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: Signal at LOC-033","Medium","0.89","High","Low","42","Signal & Telecommunication","2026-09-08 03:00:00","2026-09-11 03:00:00","Pending",""
"TSK-0394","AST-0197","LOC-033","Goa: Madgaon-Vasco","Condition Monitoring","Synthetic demo: Signal at LOC-033","Critical","0.9","High","Medium","59","Signal & Telecommunication","2026-09-08 06:00:00","2026-09-12 06:00:00","Pending",""
"TSK-0395","AST-0198","LOC-033","Goa: Madgaon-Vasco","Corrective Maintenance","Synthetic demo: Axle Counter at LOC-033","Critical","0.12","High","High","76","Signal & Telecommunication","2026-09-08 09:00:00","2026-09-13 09:00:00","Pending",""
"TSK-0396","AST-0198","LOC-033","Goa: Madgaon-Vasco","Inspection","Synthetic demo: Axle Counter at LOC-033","Medium","0.13","High","Low","93","Signal & Telecommunication","2026-09-08 12:00:00","2026-09-14 12:00:00","Pending",""
"TSK-0397","AST-0199","LOC-034","Goa: Madgaon-Vasco","Preventive Maintenance","Synthetic demo: Track at LOC-034","Medium","0.14","Critical","Medium","39","Engineering","2026-09-08 15:00:00","2026-09-15 15:00:00","Pending",""
