asset_type,asset_condition,asset_criticality,asset_status,severity,task_type,traffic_impact,department,corridor,duration_minutes,simulated_failure_signal,days_since_maintenance,days_to_next_maintenance,deadline_hours,observation,failure_within_30_days
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,68.0,0.31,58,56,342.0,1,0
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,68.0,0.31,58,56,342.0,2,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,85.0,0.32,179,63,369.0,0,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,85.0,0.32,179,63,369.0,1,0
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,85.0,0.32,179,63,369.0,2,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,102.0,0.33,179,63,396.0,0,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,102.0,0.33,179,63,396.0,1,0
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,102.0,0.33,179,63,396.0,2,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,48.0,0.34,147,3,423.0,0,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,48.0,0.34,147,3,423.0,1,0
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,48.0,0.34,147,3,423.0,2,0
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,65.0,0.35,147,3,450.0,0,1
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,65.0,0.35,147,3,450.0,1,1
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,65.0,0.35,147,3,450.0,2,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,82.0,0.36,116,34,477.0,0,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,82.0,0.36,116,34,477.0,1,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,82.0,0.36,116,34,477.0,2,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,99.0,0.37,116,34,504.0,0,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,99.0,0.37,116,34,504.0,1,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,99.0,0.37,116,34,504.0,2,0
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,45.0,0.38,84,66,531.0,0,1
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,45.0,0.38,84,66,531.0,1,1
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,45.0,0.38,84,66,531.0,2,1
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,62.0,0.39,84,66,558.0,0,0
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,62.0,0.39,84,66,558.0,1,1
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,62.0,0.39,84,66,558.0,2,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,79.0,0.4,53,6,585.0,0,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,79.0,0.4,53,6,585.0,1,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,79.0,0.4,53,6,585.0,2,0
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,96.0,0.41,53,6,612.0,0,0
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,96.0,0.41,53,6,612.0,1,0
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,96.0,0.41,53,6,612.0,2,0
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,42.0,0.42,174,37,639.0,0,0
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,42.0,0.42,174,37,639.0,1,0
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,42.0,0.42,174,37,639.0,2,0
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,59.0,0.43,174,37,666.0,0,0
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,59.0,0.43,174,37,666.0,1,1
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,59.0,0.43,174,37,666.0,2,1
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,76.0,0.44,142,69,693.0,0,0
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,76.0,0.44,142,69,693.0,1,0
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,76.0,0.44,142,69,693.0,2,0
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,93.0,0.45,142,69,384.0,0,0
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,93.0,0.45,142,69,384.0,1,0
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,93.0,0.45,142,69,384.0,2,0
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,39.0,0.46,111,9,411.0,0,0
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,39.0,0.46,111,9,411.0,1,1
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,39.0,0.46,111,9,411.0,2,1
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,56.0,0.47,111,9,438.0,0,1
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,56.0,0.47,111,9,438.0,1,0
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,56.0,0.47,111,9,438.0,2,1
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,73.0,0.48,79,40,465.0,0,1
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,73.0,0.48,79,40,465.0,1,1
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,73.0,0.48,79,40,465.0,2,1
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,90.0,0.49,79,40,492.0,0,0
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,90.0,0.49,79,40,492.0,1,1
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,90.0,0.49,79,40,492.0,2,0
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,36.0,0.5,48,72,519.0,0,0
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,36.0,0.5,48,72,519.0,1,0
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,36.0,0.5,48,72,519.0,2,0
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,53.0,0.51,48,72,546.0,0,0
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,53.0,0.51,48,72,546.0,1,1
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,53.0,0.51,48,72,546.0,2,0
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,70.0,0.52,169,12,573.0,0,1
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,70.0,0.52,169,12,573.0,1,0
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,70.0,0.52,169,12,573.0,2,0
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,87.0,0.53,169,12,600.0,0,0
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,87.0,0.53,169,12,600.0,1,1
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,87.0,0.53,169,12,600.0,2,0
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,104.0,0.54,137,43,627.0,0,1
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,104.0,0.54,137,43,627.0,1,0
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,104.0,0.54,137,43,627.0,2,0
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,50.0,0.55,137,43,654.0,0,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,50.0,0.55,137,43,654.0,1,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,50.0,0.55,137,43,654.0,2,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,67.0,0.56,106,75,681.0,0,0
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,67.0,0.56,106,75,681.0,1,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,67.0,0.56,106,75,681.0,2,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,84.0,0.57,106,75,708.0,0,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,84.0,0.57,106,75,708.0,1,0
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,84.0,0.57,106,75,708.0,2,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,101.0,0.58,74,15,735.0,0,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,101.0,0.58,74,15,735.0,1,0
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,101.0,0.58,74,15,735.0,2,0
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,47.0,0.59,74,15,426.0,0,1
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,47.0,0.59,74,15,426.0,1,1
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,47.0,0.59,74,15,426.0,2,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,64.0,0.6,43,46,453.0,0,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,64.0,0.6,43,46,453.0,1,1
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,64.0,0.6,43,46,453.0,2,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,81.0,0.61,43,46,480.0,0,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,81.0,0.61,43,46,480.0,1,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,81.0,0.61,43,46,480.0,2,0
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,98.0,0.62,164,78,507.0,0,1
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,98.0,0.62,164,78,507.0,1,0
Signal,Poor,High,Operational,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,98.0,0.62,164,78,507.0,2,1
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,44.0,0.63,164,78,534.0,0,1
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,44.0,0.63,164,78,534.0,1,0
Signal,Poor,High,Operational,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,44.0,0.63,164,78,534.0,2,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,61.0,0.64,132,18,561.0,0,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,61.0,0.64,132,18,561.0,1,1
Axle Counter,Critical,High,Under Observation,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,61.0,0.64,132,18,561.0,2,1
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,78.0,0.65,132,18,588.0,0,0
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,78.0,0.65,132,18,588.0,1,0
Axle Counter,Critical,High,Under Observation,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,78.0,0.65,132,18,588.0,2,0
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,95.0,0.66,101,49,615.0,0,0
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,95.0,0.66,101,49,615.0,1,1
Track,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,95.0,0.66,101,49,615.0,2,1
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,41.0,0.67,101,49,642.0,0,1
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,41.0,0.67,101,49,642.0,1,1
Track,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,High,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,41.0,0.67,101,49,642.0,2,1
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,58.0,0.68,69,81,669.0,0,0
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,58.0,0.68,69,81,669.0,1,0
Turnout,Fair,Medium,Operational,Critical,Corrective Maintenance,Low,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,58.0,0.68,69,81,669.0,2,0
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,75.0,0.69,69,81,696.0,0,0
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,75.0,0.69,69,81,696.0,1,1
Turnout,Fair,Medium,Operational,Medium,Inspection,Medium,Engineering,Arunachal Pradesh: Itanagar-Naharlagun,75.0,0.69,69,81,696.0,2,0
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,92.0,0.7,38,21,723.0,0,0
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,92.0,0.7,38,21,723.0,1,1
OHE Mast,Poor,High,Operational,Medium,Preventive Maintenance,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,92.0,0.7,38,21,723.0,2,0
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,38.0,0.71,38,21,750.0,0,1
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,38.0,0.71,38,21,750.0,1,0
OHE Mast,Poor,High,Operational,Critical,Condition Monitoring,Low,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,38.0,0.71,38,21,750.0,2,1
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,55.0,0.72,159,52,777.0,0,1
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,55.0,0.72,159,52,777.0,1,0
Traction Substation,Critical,High,Under Observation,Critical,Corrective Maintenance,Medium,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,55.0,0.72,159,52,777.0,2,1
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,72.0,0.73,159,52,468.0,0,0
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,72.0,0.73,159,52,468.0,1,0
Traction Substation,Critical,High,Under Observation,Medium,Inspection,High,Traction Distribution,Arunachal Pradesh: Itanagar-Naharlagun,72.0,0.73,159,52,468.0,2,1
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,89.0,0.74,127,84,495.0,0,1
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,89.0,0.74,127,84,495.0,1,0
Signal,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,89.0,0.74,127,84,495.0,2,0
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,35.0,0.75,127,84,522.0,0,1
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,35.0,0.75,127,84,522.0,1,0
Signal,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Medium,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,35.0,0.75,127,84,522.0,2,0
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,52.0,0.76,120,24,549.0,0,1
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,52.0,0.76,120,24,549.0,1,0
Axle Counter,Fair,Medium,Operational,Critical,Corrective Maintenance,High,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,52.0,0.76,120,24,549.0,2,0
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,69.0,0.77,120,24,576.0,0,1
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,69.0,0.77,120,24,576.0,1,0
Axle Counter,Fair,Medium,Operational,Medium,Inspection,Low,Signal & Telecommunication,Arunachal Pradesh: Itanagar-Naharlagun,69.0,0.77,120,24,576.0,2,0
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Assam: Guwahati-Dibrugarh,86.0,0.78,88,55,603.0,0,1
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Assam: Guwahati-Dibrugarh,86.0,0.78,88,55,603.0,1,1
Track,Poor,High,Operational,Medium,Preventive Maintenance,Medium,Engineering,Assam: Guwahati-Dibrugarh,86.0,0.78,88,55,603.0,2,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Assam: Guwahati-Dibrugarh,103.0,0.79,88,55,630.0,0,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Assam: Guwahati-Dibrugarh,103.0,0.79,88,55,630.0,1,1
Track,Poor,High,Operational,Critical,Condition Monitoring,High,Engineering,Assam: Guwahati-Dibrugarh,103.0,0.79,88,55,630.0,2,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Assam: Guwahati-Dibrugarh,49.0,0.8,57,87,657.0,0,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Assam: Guwahati-Dibrugarh,49.0,0.8,57,87,657.0,1,1
Turnout,Critical,High,Under Observation,Critical,Corrective Maintenance,Low,Engineering,Assam: Guwahati-Dibrugarh,49.0,0.8,57,87,657.0,2,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Assam: Guwahati-Dibrugarh,66.0,0.81,57,87,684.0,0,1
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Assam: Guwahati-Dibrugarh,66.0,0.81,57,87,684.0,1,0
Turnout,Critical,High,Under Observation,Medium,Inspection,Medium,Engineering,Assam: Guwahati-Dibrugarh,66.0,0.81,57,87,684.0,2,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Assam: Guwahati-Dibrugarh,83.0,0.82,178,2,711.0,0,1
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Assam: Guwahati-Dibrugarh,83.0,0.82,178,2,711.0,1,0
OHE Mast,Good,Critical,Maintenance In Progress,Medium,Preventive Maintenance,High,Traction Distribution,Assam: Guwahati-Dibrugarh,83.0,0.82,178,2,711.0,2,1
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Assam: Guwahati-Dibrugarh,100.0,0.83,178,2,738.0,0,1
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Assam: Guwahati-Dibrugarh,100.0,0.83,178,2,738.0,1,0
OHE Mast,Good,Critical,Maintenance In Progress,Critical,Condition Monitoring,Low,Traction Distribution,Assam: Guwahati-Dibrugarh,100.0,0.83,178,2,738.0,2,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Assam: Guwahati-Dibrugarh,46.0,0.84,146,33,765.0,0,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Assam: Guwahati-Dibrugarh,46.0,0.84,146,33,765.0,1,0
Traction Substation,Fair,Medium,Operational,Critical,Corrective Maintenance,Medium,Traction Distribution,Assam: Guwahati-Dibrugarh,46.0,0.84,146,33,765.0,2,1
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Assam: Guwahati-Dibrugarh,63.0,0.85,146,33,792.0,0,0
Traction Substation,Fair,Medium,Operational,Medium,Inspection,High,Traction Distribution,Assam: Guwahati-Dibrugarh,63.0,0.85,146,33,792.0,1,1
